karachi	kɚɹˈɑːɹtʃi
casablanca	kˌæsɐblˈæŋkə
hanoi	hænˈɔɪ
nanchang	nˈæntʃæŋ
ababa	ˈæbɐbə
harcourt	hˈɑːɹkɔːɹt
busan	bjˈuːsən
dubai	dˈuːbaɪ
chittagong	tʃˈɪɾæɡəŋɡ
kanpur	kˈænpʊɹ
changzhou	tʃˈæŋʒuː
domingo	doʊmˈɪŋɡoʊ
pyongyang	pjɑːŋjˈɑːŋ
buenos	bwˈeɪnɑːs
aires	ˈaɪɹɪz
lanzhou	lˈænʒuː
mashhad	mˈæʃhæd
nantong	nˈæntɑːŋ
surabaya	sˈɜːɹɐbˌeɪə
quezon	kwˈɛzɑːn
tashkent	tæʃkˈɛnt
kyiv	kjˈɪv
i̇zmir	ˈɪzmɪɹ
nagpur	nˈæɡpʊɹ
kumasi	kjuːmˈɑːsi
algiers	ældʒˈɪɹz
xuzhou	zˈʌʒuː
brasília	bɹæsˈɪliə
toronto	tɚɹˈɑːntoʊ
douala	dwˈɑːlə
kaohsiung	kˈeɪəhsˌɪʌŋ
yaoundé	jˌeɪəəndˈeɪ
osaka	ɑːsˈɑːkə
zibo	zˈiːboʊ
linyi	lˈɪnɪi
chicago	ʃᵻkˈɑːɡoʊ
gazipur	ɡˈæzɪpˌʊɹ
guayaquil	ɡwˈaɪɐkwˌɪl
dakar	dˈækɑːɹ
wenzhou	wˈɛnʒuː
brisbane	bɹˈɪsbən
tangshan	tˈæŋʃən
sanaa	sˈænɑː
bandung	bˈændʌŋ
lusaka	luːsˈɑːkə
medellín	mɛdˈɛlᵻn
gujranwala	ɡˌʊdʒɹɐnwˈɑːlə
ouagadougou	wˌɑːɡɐdˈuːɡuː
bekasi	bᵻkˈɑːsi
medan	mˈɛdən
fortaleza	fˈɔːɹɾeɪlzə
salvador	sˈælvɐdˌɔːɹ
daegu	dˈiːɡuː
omdurman	ˈɑːmdɜːmən
hohhot	hˈoʊhɑːt
haikou	hˈeɪkuː
bhopal	boʊpˈɑːl
shaoxing	ʃˈeɪɑːksɪŋ
nagoya	næɡˈɔɪə
mogadishu	mˌɑːɡɐdˈiːʃuː
patna	pˈʌtnə
belo	bᵻlˈoʊ
horizonte	hˈɔːɹɪzˌɔnt
houston	hjˈuːstən
accra	ˈækɹɐ
rawalpindi	ɹɔːlpˈɪndi
phnom	pnˈɑːm
penh	pˈɛn
taoyuan	tˈaʊjuːən
cali	kˈɑːli
luoyang	lˈɔɪæŋ
zhuhai	ʒjˈuːhaɪ
liuzhou	lˈɪəʒˌuː
perth	pˈɜːθ
lomé	ləmˈeɪ
multan	mʊltˈɑːn
almaty	ˈɔlməɾi
brazzaville	bɹˈæzəvˌɪl
baotou	bˈeɪətˌuː
handan	hˈændən
huizhou	hjˈuːɪʒˌuː
caracas	kæɹˈɑːkəz
manaus	mˈænaʊs
weifang	wˈaɪfæŋ
kuala	kwˈɑːlɐ
lumpur	lˈʌmpʊɹ
sapporo	sæpˈɔːɹoʊ
khartoum	kɑːɹtˈuːm
bahri	bˈɑːɹi
isfahan	ˈɪsfɐhˌæn
faridabad	fɑːɹɹˈɪdɐbˌɑːd
baoding	bˈeɪɑːdɪŋ
cruz	kɹˈuːz
tangerang	tˈændʒɚɹˌæŋ
depok	dᵻpˈɑːk
hamburg	hˈæmbɜːɡ
peshawar	pɛʃˈɑːwɚ
tijuana	tiəwˈɑːnə
datong	dˈæɾɑːŋ
huai'an	hjˈuːeɪən
yantai	jˈæntaɪ
jiangmen	dʒjˈɑːŋmɛn
ganzhou	ɡˈænʒuː
davao	dˈævaʊ
curitiba	kjˌʊɹɹɪtˈiːbə
quito	kˈiːɾoʊ
montreal	mˌɑːntɹɪˈɔːl
monrovia	mɔnɹˈoʊviə
kigali	kɪɡˈɑːli
visakhapatnam	vˈɪsɐkhɐpˌʌtnəm
pimpri-chinchwad	pˈɪmpɹitʃˈɪntʃwɑːd
bucharest	bˌuːkɚɹˈɛst
semarang	sˈɛmɚɹˌæŋɡ
xiangyang	zˌaɪəŋjˈɑːŋ
budapest	bˌuːdəpˈɛst
gaziantep	ɡˈæziəntˌɛp
kampala	kæmpˈɑːlə
xining	zˈaɪnɪŋ
zunyi	zˈʌnɪi
palembang	pˈeɪlmbæŋ
vadodara	vˌædədˈɑːɹɹə
caloocan	kˈæluːkən
conakry	kənˈækɹi
kunshan	kˈʌnʃən
varanasi	vˌæɹɐnˈɑːsi
beirut	beɪɹˈuːt
ecatepec	ˈɛkɐtˌɛpɛk
morelos	mˈɔːɹloʊz
ghaziabad	ɡɑːzˈɪɐbˌɑːd
novosibirsk	nˈɑːvəzᵻbˌɜːsk
ludhiana	lˌʌdhiˈɑːnə
fukuoka	fjˌuːkjuːˈoʊkə
daqing	dˈeɪkɪŋ
wuhu	wˈuːhuː
karaj	kˈæɹædʒ
león	lɛˈɑːn
philadelphia	fɪlɐdˈɛlfiə
yekaterinburg	jˈɛkɐɾɚɹˌɪnbɜːɡ
navi	nˈævi
puebla	pjˈuːblə
putian	pjˈuːʃən
ulaanbaatar	ˈuːlɑːnbˌɑːɾɚ
kawasaki	kˌaʊəsˈɑːki
kōbe	kˈoʊb
qinhuangdao	kˌɪnhjuːˈæŋdaʊ
zhuzhou	ʒˈʌʒuː
jilin	dʒˈɪlɪn
ciudad	sˈɪjuːdˌæd
juárez	dʒjˈuːɚɹˌɛz
recife	ɹᵻsˈaɪf
harare	hɚɹˈɑːɹi
daejeon	dˈiːdʒɪən
yiwu	jˈɪwuː
anshan	ˈænʃən
gwangju	ɡwˈæŋdʒuː
quanzhou	kwˈɔnʒuː
kyōto	kaɪˈoʊɾoʊ
cixi	sˈɪksi
antonio	æntˈoʊnɪˌoʊ
nouakchott	nwˈɑːktʃɑːt
goiânia	ɡˈɔɪənˌiə
pointe-noire	pˈɔɪntnwˈɑːɹ
tai’an	tˈeɪən
medina	mˈɛdɪnə
nanyang	nænjˈɑːŋ
alegre	ɐlˈɛɡɚ
quetta	kwˈɛɾə
zhanjiang	ʒˈændʒjɑːŋ
chandigarh	tʃˌʌndɪɡˈɜː
dammam	dˈæmæm
guadalajara	ɡwˌɑːdɐlɐdʒˈɑːɹɹə
diego	dɪˈeɪɡoʊ
amritsar	ɐmɹˈɪtsɚ
montevideo	mˌɑːntɪvɪdˈeɪoʊ
konya	kˈɑːnjə
mossul	mˈɔsəl
guilin	ɡˈɪlɪn
prague	pɹˈɑːɡ
astana	ɐstˈɑːnə
yancheng	jæntʃˈɛŋ
zaozhuang	zˈeɪəʒwˌɑːŋ
taizhou	tˈeɪʒuː
shangrao	ʃˈæŋɡɹaʊ
basra	bˈæsɹə
jiangyin	dʒjˈɑːŋiˌɪn
tegucigalpa	tˈɛɡjuːsˌɪɡælpə
saitama	seɪtˈɑːmə
antalya	ˈæntɐlɪə
antananarivo	ˌæntɐnˌænɑːɹɹˈɪvoʊ
guwahati	ɡˌʊwɐhˈɑːɾi
córdoba	kɔːɹdˈoʊbə
mombasa	məmbˈɑːsə
meerut	mˈɪɹʌt
kazan	kˈæzən
belém	bᵻlˈeɪm
heze	hˈiːz
guarulhos	ɡæɹˈʌlhoʊz
dallas	dˈæləs
rajkot	ɹˈɑːdʒkɑːt
onitsha	ˈɑːnɪtʃə
yichang	jˈɪtʃæŋ
barranquilla	bˌæɹɐŋkwˈɪlə
sharjah	ʃˈɑːɹdʒə
xinxiang	zˈɪŋksjæŋ
dhabi	dˈɑːbi
zapopan	zˈæpəpˌæn
nanchong	nˈæntʃɑːŋ
chaozhou	kˈeɪəʒˌuː
kalyan-dombivli	kɐljˈɑːndəmbˈɪvli
bareilly	bˈɛɹɪli
jieyang	dʒiːjˈɑːŋ
shubra	ʃˈʌbɹə
kheima	kˈeɪmə
huainan	hjˈuːeɪnən
port-au-prince	pˈɔːɹtˌoʊpɹˈɪns
fès	fˈɛs
changshu	tʃˈæŋʃuː
mysore	mˈaɪsɔːɹ
fushun	fˈʌʃʌn
nizhny	nˈɪʒni
novgorod	nˈɑːvɡɔːɹˌɑːd
vasai-virar	vˈæsaɪvˈɜːɹɑːɹ
suwon	sˈuːwʌn
qom	kˈɑːm
hiroshima	hˌɪɹəʃˈiːmə
qingyuan	kˈɪŋjuːən
batam	bˈæɾæm
kaifeng	kaɪfˈɛŋ
srinagar	sɹˈiːnəɡɚ
xianyang	zˌaɪənjˈɑːŋ
fuyang	fˈaɪæŋ
nelson	nˈɛlsən
mandela	mændˈɛlə
nelson mandela bay (gqeberha)	(dʒˈiːkˈɛbɚhə)
jiaxing	dʒˈaɪəksɪŋ
anyang	ˈɛnɪˌæŋ
krasnoyarsk	kɹˈæsnɔɪˌɑːɹsk
doha	dˈoʊhə
hengyang	hɛŋjˈɑːŋ
tbilisi	tˈiːbaɪlˈɪsi
ahvaz	ˈɑːvæz
tripoli	tɹˈɪpəli
jinjiang	dʒˈɪndʒjɑːŋ
aurangabad	ɔːɹˈæŋɡɐbˌɑːd
lampung	lˈæmpʌŋ
lilongwe	laɪlˈɔŋwi
dhanbad	dˈænbæd
naypyidaw	nˈeɪpɪˌɪdɔː
yinchuan	jˈɪntʃjuːən
iribarren	ˈɪɹɪbˌæɹən
iribarren (barquisimeto)	(bˌɑːɹkwɪsˈaɪmtoʊ)
kaduna	kˈædʒuːnə
rizhao	ɹˈɪʒaʊ
ufa	jˈuːfə
monterrey	mˈɔntɛɹi
rostov-on-don	ɹˈɑːstɑːvˌɔndˈɑːn
campinas	kˈæmpɪnəz
dazhou	dˈæʒuː
luzhou	lˈʌʒuː
yueyang	jˈuːeɪˌæŋ
zhenjiang	ʒˈɛndʒjɑːŋ
bishkek	bˈɪʃkɛk
prayagraj	pɹˈeɪɐɡɹˌædʒ
islamabad	ɪslˈɑːmɐbˌɑːd
baoji	bˈeɪɑːdʒi
mwanza	ˈɛmwˈɔnzə
maputo	mæpjˈuːɾoʊ
yibin	jˈɪbɪn
krasnodar	kɹˈæsnədˌɑːɹ
sendai	sˈɛndaɪ
chifeng	tʃˈaɪfəŋɡ
n'djamena	ˈɛndʒˈeɪmnə
yerevan	jˌɛɹəvˈæn
diyarbakır	dˈɪjɑːɹbˌækɪɹ
huzhou	hˈʌʒuː
suqian	sˈuːkiən
wanzhou	wˈɔnʒuː
bengbu	bˈɛŋɡbuː
yangzhou	jˈɑːŋʒuː
ranchi	ɹˈɑːntʃi
nezahualcóyotl	nˈɛzɐhjˌuːɐlkˌɔɪɑːɾəl
lu’an	lˈʌən
yongin	jˈɑːŋɡɪn
coimbatore	kˈoʊjəmbʊtˌʊɹ
managua	mænˈɑːɡwə
voronezh	vˈɔːɹoʊnəʒ
zhangjiagang	ʒˈæŋdʒɪˌæɡæŋ
jabalpur	dʒˈæbɐlpˌʊɹ
gwalior	ɡwˈæljɚ
vijayawada	vˌɪdʒeɪɐwˈɑːdə
salé	sælˈeɪ
changzhi	tʃˈæŋʒaɪ
pingdingshan	pˈɪŋdɪŋʃən
goyang	ɡˈɔɪæŋ
jinhua	dʒˈɪnhjuːə
mersin	mˈɜːsɪn
são luís	sˈaʊ,ljˈuːiz
zhaoqing	ʒˈeɪɑːkɪŋ
asmara	ɐsmˈɑːɹɹə
matola	mætˈoʊlə
shangqiu	ʃˈæŋkɪˌuː
qiqihar	kˈɪkɪhˌɑːɹ
changwon	tʃˈæŋwʌn
cartagena	kˌɑːɹɾədʒˈiːnə
volgograd	vˈɑːlɡəɡɹˌæd
jinzhou	dʒˈɪnʒuː
liaocheng	lˌaɪəətʃˈɛŋ
madurai	mˈædʒuːɹˌaɪ
xinyang	zɪnjˈɑːŋ
yuyao	jˈuːjaʊ
rui’an	ɹˈuːɪən
edmonton	ˈɛdmɔntən
odesa	ˈoʊdɛsə
raipur	ɹˈaɪpʊɹ
vientiane	vjɛntjˈɑːn
jacksonville	dʒˈæksənvˌɪl
columbus	kəlˈʌmbəs
indianapolis	ˌɪndiənˈæpəlˌɪs
francisco	fɹænsˈɪskoʊ
seattle	siːˈæɾəl
denver	dˈɛnvɚ
oklahoma	ˌoʊklɐhˈoʊmə
nashville	nˈæʃvɪl
paso	pˈæsoʊ
vegas	vˈeɪɡəs
detroit	dɪtɹˈɔɪt
portland	pˈɔːɹtlənd
louisville	lˈuːizvˌɪl
milwaukee	mɪlwˈɔːkiː
albuquerque	ˈælbəkˌɜːki
tucson	tˈʌksən
kansas	kˈænzəs
raleigh	ɹˈɑːli
minneapolis	mˌɪniːˈæpəlɪs
bakersfield	bˈækɚsfˌiːld
tampa	tˈæmpə
arlington	ˈɑːɹlɪŋtən
cleveland	klˈiːvlənd
honolulu	hˌɑːnəlˈuːluː
anaheim	ˈænɐhˌaɪm
henderson	hˈɛndɚsən
christi	kɹˈɪsti
irvine	ˈɜːvaɪn
cincinnati	sˌɪnsɪnˈæɾi
newark	nˈuːɚk
pittsburgh	pˈɪtsbɜːɡ
greensboro	ɡɹˈiːnsbɚɹˌoʊ
plano	plˈɑːnoʊ
madison	mˈædɪsən
reno	ɹˈiːnoʊ
buffalo	bˈʌfəlˌoʊ
chula	tʃˈuːlə
lubbock	lˈʌbək
laredo	lˈɛɹdoʊ
chesapeake	tʃˈɛsəpˌiːk
glendale	ɡlˈɛndeɪl
winston-salem	wˈɪnstənsˈeɪləm
lucie	lˈuːsi
scottsdale	skˈɑːtsdeɪl
boise	bˈɔɪsi
spokane	spoʊkˈæn
fremont	fɹˈɛmɔnt
huntsville	hˈʌntzvɪl
frisco	fɹˈɪskoʊ
clarita	klæɹˈiːɾə
bernardino	bˌɜːnɚdˈiːnoʊ
tacoma	təkˈoʊmə
hialeah	hˈaɪəlˌiː
modesto	mɑːdˈɛstoʊ
fontana	fɔntˈɑːnə
mckinney	mə kˈɪni
moreno	mˈɔːɹnoʊ
des	dˈɛs
moines	mˈɔɪnz
fayetteville	fˈeɪətvˌɪl
yonkers	jˈɑːŋkɚz
rochester	ɹˈɑːtʃɛstɚ
tallahassee	tˈælɐhˌæsiː
oxnard	ˈɑːksnɑːɹd
vancouver	væŋkˈuːvɚ
montgomery	mɑːntɡˈɑːmɚɹi
brownsville	bɹˈaʊnzvɪl
akron	ˈækɹɑːn
lauderdale	lˈɔːdɚdˌeɪl
ontario	ɑːntˈæɹɪˌoʊ
clarksville	klˈɑːɹkzvɪl
shreveport	ʃɹˈiːvpɔːɹt
salem	sˈeɪləm
cucamonga	kjˈuːkɐmˌɑːŋɡə
springfield	spɹˈɪŋfiːld
lancaster	lˈæŋkæstɚ
murfreesboro	mˈɜːfɹiːsbɚɹˌoʊ
palmdale	pˈɑːmdeɪl
roseville	ɹˈoʊzvɪl
paterson	pˈæɾɚsən
sunnyvale	sˈʌnɪvˌeɪl
bellevue	bˈɛlvjuː
joliet	dʒˈoʊliət
naperville	nˈeɪpɚvˌɪl
escondido	ˌɛskəndˈiːdoʊ
bridgeport	bɹˈɪdʒpɔːɹt
olathe	ˈɑːleɪð
pasadena	pˌæsɐdˈiːnə
mcallen	mək ˈælən
gainesville	ɡˈeɪnzvɪl
syracuse	sˈɪɹɐkjˌuːs
visalia	vɪzˈeɪliə
thornton	θˈɔːɹntən
waco	wˈeɪkoʊ
torrance	tˈɔɹəns
victorville	vˈɪktɚvˌɪl
miramar	mˈɜːɹæmɚ
hampton	hˈæmptən
dayton	dˈeɪtən
lewisville	lˈuːizvˌɪl
heights	hˈaɪts
fargo	fˈɑːɹɡoʊ
carrollton	kˈæɹoʊltən
abilene	ˈæbaɪlˌiːn
clovis	klˈʌvɪs
topeka	toʊpˈiːkə
allentown	ˈæləntˌaʊn
vallejo	vɐlˈeɪhoʊ
concord	kəŋkˈɔːɹd
lafayette	lˌæfeɪˈɛt
arvada	ɑːɹvˈɑːdə
fairfield	fˈɛɹfiːld
hartford	hˈɑːɹtfɚd
berkeley	bˈɜːkli
cambridge	kˈeɪmbɹɪdʒ
richardson	ɹˈɪtʃɚdsən
antioch	ˈæntiːˌɑːk
odessa	ˈoʊdɛsə
evansville	ˈɛvənzvˌɪl
waterbury	wˈɔːɾɚbˌɛɹi
nampa	nˈæmpə
carlsbad	kˈɑːɹlsbæd
menifee	mˈɛnɪfˌiː
provo	pɹˈoʊvoʊ
murrieta	mˌɜːɹiˈɛɾə
tuscaloosa	tˈʌskɐlˌuːsə
braunfels	bɹˈɔːnfəlz
gresham	ɡɹˈɛʃæm
temecula	tɛmˈɛkjʊlə
ventura	vɛntˈʊɹɹə
conroe	kənɹˈoʊ
davie	dˈeɪvi
hillsboro	hˈɪlsbɚɹˌoʊ
jurupa	dʒjˈʊɹɹuːpə
edison	ˈɛdɪsən
edinburg	ˈɛdɪnbˌɜːɡ
renton	ɹˈɛntən
lee's summit	lˈiːz
fishers	fˈɪʃɚz
rialto	ɹˈaɪəltˌoʊ
woodbridge	wˈʊdbɹɪdʒ
cajon	kˈædʒɑːn
inglewood	ɪŋɡlˈuːʊd
vacaville	vˈeɪkəvˌɪl
mateo	mɐtˈeɪoʊ
hesperia	hɛspˈɪɹiə
pakistan	pˌækɪstˈæn
bangladesh	bˌæŋɡlɐdˈɛʃ
mexico	mˈɛksɪkˌoʊ
vietnam	vˌiːətnˈɑːm
kingdom	kˈɪŋdəm
thailand	tˈaɪlənd
tanzania	tˈænzɐnˈiə
italy	ˈɪɾəli
colombia	kəlˈʌmbiə
kenya	kˈɛnjə
myanmar	mjˈɑːnmɑːɹ
korea	kɚɹˈiːə
spain	spˈeɪn
algeria	ældʒˈɪɹiə
uganda	juːɡˈændə
afghanistan	æfɡˈænɪstˌæn
uzbekistan	ˌʊzbɛkɪstˈæn
poland	pˈoʊlənd
ghana	ɡˈɑːnə
ukraine	juːkɹˈeɪn
saudi	sˈaʊdi
arabia	ɚɹˈeɪbiə
madagascar	mˌædəɡˈæskɚ
cameroon	kˌæmɚɹˈuːn
venezuela	vˌɛnɪzwˈeɪlə
niger	nˈaɪdʒɚ
syria	sˈɪɹiə
burkina	bɜːkˈiːnə
faso	fˈɑːsoʊ
taiwan	taɪwˈɑːn
lanka	lˈæŋkə
kazakhstan	kˌæzɐkhstˈɑːn
malawi	mɐlˈɑːwi
zambia	zˈæmbiə
romania	ɹoʊmˈeɪniə
somalia	səmˈɑːliə
netherlands	nˈɛðɜːləndz
guatemala	ɡwˌɑːɾɪmˈɑːlə
ecuador	ˈɛkwɐdˌɔːɹ
rwanda	ɹʊˈændə
burundi	bʊɹˈʊndi
haiti	hˈeɪɾi
tunisia	tuːnˈiːʒə
belgium	bˈɛldʒəm
papua	pˈæpjuːə
arab	ˈæɹəb
sweden	swˈiːdən
tajikistan	tˌædʒɪkɪstˈæn
honduras	hɑːndjˈʊɹɹəs
austria	ˈɔːstɹiə
belarus	bˌɛlɚɹˈuːs
leone	liːˈoʊn
togo	tˈoʊɡoʊ
laos	lˈaʊz
kyrgyzstan	kˌɜːrɡɪstˈɑːn
turkmenistan	tˌɜːkmənɪstˈæn
singapore	sˈɪŋɡɐpˌɔːɹ
lebanon	lˈɛbənˌɑːn
palestine	pˈæləstˌaɪn
slovakia	slʌvˈækiə
zealand	zˈiːlənd
rica	ɹˈiːkə
mauritania	mˌɔːɹɪtˈeɪniə
kuwait	kuːwˈeɪt
panama	pˈænəmˌɑː
eritrea	ˌɛɹɪtɹˈiə
mongolia	mɔŋɡˈoʊliə
uruguay	jˈʊɹɹuːɡwˌaɪ
bosnia	bˈɑːsniə
herzegovina	hˈɜːzɪɡˌɑːvɪnə
puerto	pwˈɛɹɾoʊ
rico	ɹˈiːkoʊ
armenia	ɑːɹmˈiːniə
namibia	næmˈɪbiə
lithuania	lˌɪθjuːˈeɪniə
qatar	kˈæɾɑːɹ
moldova	moʊldˈoʊvə
botswana	bətswˈɑːnə
gabon	ɡɐbˈoʊn
lesotho	ləsˈuːɾuː
slovenia	sloʊvˈiːniə
macedonia	mˌæsɪdˈoʊniə
guinea-bissau	ɡˈɪnibˈɪsaʊ
bahrain	bɑːɹˈeɪn
kosovo	kˈɑːsəvˌoʊ
trinidad	tɹˈɪnɪdˌæd
tobago	toʊbˈeɪɡoʊ
mauritius	mɔːɹˈɪʃəs
eswatini	ˌɛswətˈiːni
djibouti	dʒɪbˈuːɾi
cyprus	sˈaɪpɹəs
comoros	kəmˈɔːɹoʊz
bhutan	buːtˈɑːn
guyana	ɡaɪˈɑːnə
islands	ˈaɪləndz
macau	mˈækaʊ
luxembourg	lˈʌksəmbˌɜːɡ
montenegro	mˌɔntənˈiːɡɹoʊ
suriname	sˌʊɹɹɪnˈæm
malta	mˈɔltə
maldives	mɔːldˈiːv
verde	vˈɜːd
brunei	bɹuːnˈaɪ
belize	bɛlˈiːz
transnistria	tɹænsnˈɪstɹiə
vanuatu	vˌænjuːˈɑːɾuː
polynesia	pˌɑːlɪnˈiːʒə
caledonia	kˌælɪdˈoʊniə
abkhazia	ɐbkhˈeɪziə
são tomé and príncipe	sˈaʊ,pɹˈɪnsaɪp
tomé	təmˈeɪ
samoa	sæmˈoʊə
curaçao	kjʊɹɹˈæsaʊ
guam	ɡwˈɑːm
seychelles	seɪʃˈɛlz
kiribati	kˌɪɹɪbˈɑːɾi
grenada	ɡɹɛnˈɑːdə
aruba	æɹˈuːbə
micronesia	mˈaɪkɹoʊnˈiːʒə
antigua	æntˈiːɡə
barbuda	bɑːɹbjˈuːdə
andorra	ˈændɔɹə
dominica	dəmˈɪnɪkə
ossetia	ɑːsˈiːʃə
faroe	fˈɛɹoʊ
kitts	kˈɪts
nevis	nˈɛvɪs
turks	tˈɜːks
caicos	kˈeɪkoʊz
liechtenstein	lˈɪxtənstˌaɪn
monaco	mˈɑːnəkˌoʊ
marino	mɚɹˈiːnoʊ
nauru	nˈaʊɹuː
wallis	wˈɔliz
futuna	fjˈuːtuːnə
tuvalu	tuːvˈɑːljuː
barthélemy	bˈɑːɹθeɪləmi
miquelon	mˈɪkwɛlən
saint helena, ascension and tristan da cunha	hɛlˈiːnə,
montserrat	mˈɔntsɪɹˌæt
pitcairn	pˈɪtkɛɹn
amundsen	ˈæmʌndsən
barents	bˈæɹənts
beaufort	bˈoʊfɔːɹt
hudson	hˈʌdsən
kara	kˈɑːɹɹə
laptev	lˈæptɛv
prince gustav adolf	pɹˈɪns ɡˈʌstæv ˈædɑːlf
pechora	pˈɛkɔːɹə
wandel	wˈɔndəl
bellingshausen	bˈɛlɪŋʃˌɔːsən
cooperation	koʊˈɑːpɚɹˈeɪʃən
cosmonauts	kˈɑːzmənˌɔːts
davis	dˈeɪvɪs
d'urville	dˈɜːvɪl
st vincent	sənt vˈɪnsənt
king haakon vii	kˈɪŋ hˈɑːkən ɹˌoʊmən sˈɛvən
lazarev	lˈæzɛɹv
mawson	mˈɔːsən
riiser-larsen	ɹˈɪaɪzɚlˈɑːɹsən
somov	sˈɑːmɑːv
weddell	wˈɛdɛl
aden	ˈeɪdən
laccadive	lˈækɐdˌɪv
arafura	ˌæɹɐfjˈʊɹɹə
bering	bˈɛɹɪŋ
bohai	bˈoʊhaɪ
bohol	bˈoʊhɑːl
mindanao	mˌɪndənˈaʊ
celebes	sˈɛlɛbz
chiloé	tʃˌɪləˈeɪ
california	kˌælɪfˈɔːɹniə
cortés	kɔːɹtˈeɪz
carpentaria	kˌɑːɹpəntˈɛɹiə
halmahera	hˈælmɐhɚɹə
koro	kˈɔːɹoʊ
mar de grau	mˈɑːɹ də ɡɹˈaʊ
savu	sˈɑːvuː
okhotsk	ˈɑːkhɑːtsk
seto inland	sˈiːɾoʊ ˈɪnlənd
sibuyan	sɪbˈuːjən
tasman	tˈæzmən
aral	ˈæɹəl
dead	dˈɛd
salton	sˈɔltən
archipelago	ˌɑːɹkɪpɪlˈeɪɡoʊ
bothnian	bˈoʊθniən
bothnia	bˈoʊθniə
riga	ɹˈiːɡə
oresund	ˈɔːɹsʌnd
ĺland	ɬænd
mirtoon	mɜːtˈuːn
alboran	ˈælbɔːɹən
sidra	sˈɪdɹə
ionian	aɪˈɑːniən
sicily	sˈɪsᵻli
biscay	bˈɪskeɪ
campeche	kˈæmpɛtʃ
st. lawrence	sənt. lˈɔːɹəns
marmara	mɑːɹmˈɑːɹɹə
azov	ˈæzɑːv
hebrides	hˈɛbɹədˌiːz
wadden	wˈɑːdən
kagera	kˈædʒɚɹə
ucayali	jˌuːkeɪˈɑːli
apurímac	ɐpjˈʊɹɹɪmˌæk
yangtze	jˈɑːŋtsi
mississippi	mˌɪsɪsˈɪpi
jefferson	dʒˈɛfɚsən
selenge	sˈɛlɛndʒ
huang he	hwˈɑːŋ hiː
irtysh	ˈɜːɾɪʃ
paraná	pˌæɹənˈɑː
río de la plata	ɹˈiːoʊ də lˌæ plˈɑːɾə
chambeshi	tʃeɪmbˈɛʃi
